Date,Close,12 day EMA,26 day EMA,MACD,Signal,Middle Band,Upper Band,Lower Band,Std Dev,Z Score,
1/3/11,47.081429,,,,,,,,,,
1/4/11,47.327145,,,,,,,,,,
1/5/11,47.714287,,,,,,,,,,
1/6/11,47.675713,,,,,,,,,,
1/7/11,48.017143,,,,,,,,,,
1/10/11,48.921429,,,,,,,,,,
1/11/11,48.805714,,,,,,,,,,
1/12/11,49.202858,,,,,,,,,,
1/13/11,49.382858,,,,,,,,,,
1/14/11,49.782856,,,,,,,,,,
1/18/11,48.664288,,,,,,,,,,
1/19/11,48.405716,48.41511967,,,,,,,,,
1/20/11,47.525715,48.34670392,,,,,,,,,
1/21/11,46.674286,48.21805639,,,,,,,,,
1/24/11,48.207142,48.21721682,,,,,,,,,
1/25/11,48.771427,48.25984837,,,,,,,,,
1/26/11,49.121429,48.32612381,,,,,,,,,
1/27/11,49.029999,48.38026805,,,,,,,,,
1/28/11,48.014286,48.35211559,,,,,,,,,
1/31/11,48.474285,48.36151323,,,,48.34000025,49.99291112,46.68708938,0.826455437,0.162482747,
2/1/11,49.290001,48.43293537,,,,48.45042885,50.04331788,46.85753982,0.796444517,1.054150204,
2/2/11,49.188572,48.49106126,,,,48.5435002,50.07643661,47.01056379,0.766468205,0.841615863,
2/3/11,49.062859,48.53504571,,,,48.6109288,50.10852009,47.11333751,0.748795643,0.603542774,
2/4/11,49.5,48.60927296,,,,48.70214315,50.18201663,47.22226967,0.739936741,1.078277108,
2/7/11,50.26857,48.73691119,,,,48.8147145,50.41297954,47.21644946,0.799132521,1.819292122,
2/8/11,50.742859,48.89121487,48.64818715,0.243027717,,48.905786,50.72232498,47.08924702,0.908269488,2.022607853,
2/9/11,51.165714,49.06617634,48.74142889,0.324747453,,49.023786,51.10087384,46.94669816,1.038543919,2.062433721,
2/10/11,50.648571,49.18789901,48.81206378,0.375835226,,49.09607165,51.29637073,46.89577257,1.10014954,1.411171204,
2/11/11,50.978573,49.32564316,48.89230486,0.433338297,,49.1758574,51.53027098,46.82144382,1.177206792,1.531349982,
2/14/11,51.311428,49.47839584,48.98190202,0.496493824,,49.252286,51.78235314,46.72221886,1.265033568,1.627737043,
2/15/11,51.414288,49.62731062,49.07199039,0.555320236,,49.389786,52.07919113,46.70038087,1.344702563,1.505538888,
2/16/11,51.875713,49.80026465,49.17583197,0.624432686,,49.56328585,52.42742603,46.69914567,1.432070088,1.614744397,
2/17/11,51.185715,49.90683776,49.25027208,0.656565678,,49.74628585,52.5288054,46.9637663,1.391259773,1.034622849,
2/18/11,50.080002,49.92015808,49.28100282,0.639155266,0.483212931,49.91657165,52.29501474,47.53812856,1.189221543,0.137426328,
